code,name,price,chg_pct,turnover,pe,pb,mktcap_yi,nmc_yi,amount_yi,chg60,drawdown,ma20,chg20,chg5,n
002266,浙富控股,5.19,2.772,1.47038,23.591,2.142,270.8801857638,251.3301733851,3.65555096,6.0924369747899165,-12.173913043478269,4.723000000000001,-3.0710172744721764,9.54446854663773,70
000612,焦作万方,11.7,1.739,2.60375,13.029,1.81,139.487329098,139.487329098,3.61132146,-10.71428571428572,-15.997078159240319,10.876,14.88511488511488,3.6970243462578933,70
600801,华新建材,24.06,5.295,1.1313,17.562,1.522,500.2063531494,322.8124543494,3.57403592,2.10008936550492,-0.6953498478922238,21.065000000000005,32.84883720930234,2.4663677130044803,70
603341,龙旗科技,37.7,1.782,3.56179,29.685,2.728,197.016672788,100.810678787,3.55049148,1.1193011193011193,-12.949471210340768,37.80800000000001,-12.78549564398399,1.6744441394455079,70
002444,巨星科技,30.92,2.929,1.02061,14.716,1.931,369.33265387439997,354.5686154576,3.52679824,-7.909258123850393,-17.698630136986303,29.449,0.5354752342704217,0.33400133600534065,70
000400,许继电气,22.88,0.527,1.48697,19.842,1.899,233.06077057119998,232.24701133920001,3.46022537,-8.850620744893867,-17.83393501805053,22.009000000000004,12.173484475110907,-0.17543859649122862,70
600312,平高电气,20.32,-0.733,1.23754,24.621,2.363,275.7264099888,275.7264099888,3.42474927,-4.923362749651661,-12.707889125799577,19.110999999999997,24.1358399029715,3.8032454361054846,70
002303,美盈森,5.47,2.434,6.37768,32.101,1.865,83.7634055695,52.8883938179,3.34259286,61.32930513595165,-4.472271914132375,4.6315,17.880794701986737,16.59388646288209,70
002568,百润股份,19.94,2.361,2.20991,32.161,4.16,207.69976597939998,151.9644410814,3.33886521,17.34939759036145,-5.436893203883497,18.703500000000002,12.666281087333719,-5.436893203883497,70
603605,珀莱雅,59.01,2.235,1.42132,15.488,3.677,233.6654665149,233.6654665149,3.31118481,-6.069975589910504,-14.107142857142863,58.81850000000001,0.0,-5.824767498776307,70
002223,鱼跃医疗,27.55,0.768,1.249,18.615,2.023,276.1823939395,259.60180938450003,3.25339395,-5.983493810178809,-9.410205434062291,27.424,5.0730207532667215,-2.6353276353276334,70
600546,山煤国际,13.28,1.997,1.22685,22.508,1.576,263.270175392,263.270175392,3.20815202,-3.9114391143911575,-14.734774066797641,12.475500000000002,10.526315789473696,3.0878859857482066,70
002611,东方精工,16.14,-0.799,1.95979,26.459,2.073,196.4699455512,162.03953136,3.16476001,-0.6108735491753281,-20.049140049140057,15.318499999999997,-6.0080878105141515,1.8785222291797021,70
603556,海兴电力,25.49,2.287,2.54596,16.881,1.662,123.94873693299999,123.94873693299999,3.14018015,-15.295717199184223,-17.401392111368907,24.348000000000003,8.820960698689962,-7.669507224898098,70
002539,云图控股,12.79,3.731,2.7499,18.536,1.59,154.4678691598,113.80460463749999,3.12407288,-17.964071856287422,-20.5541237113402,11.076,20.763956904995084,2.238805970149249,70
603766,隆鑫通用,13.9,1.017,1.06278,17.375,2.957,285.44231715,285.44231715,3.02286255,-10.649350649350653,-11.62491971740527,13.721999999999998,16.118143459915622,-6.458191706322236,70
600216,浙江医药,12.41,1.141,2.54036,13.637,1.062,119.33924477500001,118.06743384750001,3.01301429,-16.016427104722798,-16.53061224489796,12.135,3.7193575655114053,1.3212221304706784,70
