code,name,chg_today,chg_60d,chg_ytd,up,down,leader,leader_code,turnover
BK1510,其他养殖,-0.4,-9.75,-25.18,1,2,华英农业,002321,1.2
BK1226,普钢,-0.95,-9.64,-19.94,1,21,杭钢股份,600126,0.92
BK1509,水产饲料,-2.24,-9.64,-15.46,0,4,海大集团,002311,2.09
BK1218,出版,-1.08,-9.57,-7.99,5,23,新经典,603096,0.92
BK1605,医疗设备,0.37,-9.54,-4.94,18,25,澳华内镜,688212,2.74
BK1554,商业物业经营,0.29,-9.54,-12.36,5,12,汇通能源,600605,1.14
BK1439,膜材料,1.85,-9.51,11.57,12,9,双星新材,002585,5.79
BK1613,铝,-1.82,-9.5,-4.21,0,30,永茂泰,605208,2.85
BK1267,造纸,0.16,-9.44,-7.28,7,16,林平发展,603284,1.62
BK0422,物流,-0.37,-9.42,-12.74,13,31,新宁物流,300013,0.85
BK1260,渔业,-1.03,-9.41,-17.14,0,6,中  鲁Ｂ,200992,2.27
BK1434,钾肥,-3.96,-9.37,9.09,0,4,亚钾国际,000893,1.54
BK1553,多业态零售,-0.23,-9.36,-18.22,5,9,ST文峰,601010,1.26
BK1490,原材料供应链服务,-0.47,-9.35,-13.22,4,8,广汇物流,600603,0.81
BK1035,美容护理,-0.92,-9.33,-15.31,10,22,锦盛新材,300849,1.73
BK1431,有机硅,-0.97,-9.31,-1.67,0,9,合盛硅业,603260,1.8
BK1558,学历教育,-1.16,-9.3,-29.4,0,2,国脉科技,002093,2.06
BK1401,纺织服装设备,-0.15,-9.29,7.08,5,8,宏华数科,688789,2.81
BK1202,房地产,0.37,-9.25,-7.6,44,51,京投发展,600683,1.52
BK1537,成品家居,-0.07,-9.2,-15.2,7,10,ST美克,600337,1.6
BK1618,磁性材料,-1.31,-9.2,0.52,3,12,铂科新材,300811,2.78
BK1280,食品加工,-0.55,-9.14,-17.22,7,20,ST西王,000639,2.6
BK1531,商用载客车,-1.65,-9.12,-14.42,3,2,曙光股份,600303,2.11
BK1213,商贸零售,-0.22,-9.1,-15.29,28,67,汇通能源,600605,1.63
BK1461,玻璃制造,-0.38,-9.07,-13.14,1,6,旗滨集团,601636,1.53
BK1488,跨境物流,-0.28,-8.99,-18.92,5,7,世盟股份,001220,0.69
BK1301,游戏Ⅲ,-0.09,-8.98,-12.03,4,19,文投控股,600715,3.13
BK1046,游戏Ⅱ,-0.09,-8.98,-12.03,4,19,文投控股,600715,3.13
BK0436,纺织服饰,0.11,-8.97,-5.52,44,62,金一文化,002721,2.13
BK1016,汽车服务,-0.04,-8.93,-14.52,2,4,浩物股份,000757,1.05
BK1019,化学原料,-1.33,-8.92,1.81,5,59,红星发展,600367,1.9
BK1327,分立器件,0.39,-8.82,38.63,10,8,*ST闻泰,600745,3.8
BK1572,油气及炼化工程,1.5,-8.82,42.29,3,3,通源石油,300164,2.99
BK1228,冶钢原料,-1.91,-8.67,-3.89,1,8,鄂尔多斯,600295,1.2
BK0451,房地产开发,0.55,-8.6,-6.21,43,39,京投发展,600683,1.5
BK1464,水泥制造,-1.58,-8.6,-17.45,3,11,尖峰集团,600668,1.14
BK1043,专业服务,-1.6,-8.58,-3.48,3,29,安邦护卫,603373,1.86
BK0478,有色金属,-3.03,-8.47,5.46,6,138,云路股份,688190,3.95
BK1279,非白酒,-0.55,-8.43,-8.47,3,14,ST椰岛,600238,0.83
BK1367,板材,-0.7,-8.29,-19.34,1,15,杭钢股份,600126,0.93
BK0433,农林牧渔,-1.2,-8.2,-14.02,13,98,朗源股份,300175,2.04
BK0458,仪器仪表,-0.19,-8.2,3.62,20,41,蓝盾光电,300862,2.73
BK1561,旅游综合,0.12,-8.12,-31.62,4,4,*ST西旅,000610,1.61
BK1294,门户网站,-0.25,-8.05,-0.46,2,7,*ST三六,300295,3.0
BK1224,纺织制造,-0.34,-8.05,-5.66,10,22,华利集团,300979,1.77
BK1377,火力发电,-0.2,-7.9,28.74,8,23,华能蒙电,600863,1.75
BK1427,民爆制品,-0.57,-7.89,-9.23,2,11,北化股份,002246,2.48
BK1448,横向通用软件,0.32,-7.86,-15.54,15,18,天融信,002212,3.76
BK1578,其他酒类,-0.53,-7.82,-11.33,2,8,ST椰岛,600238,1.04
BK1479,航空运输,-1.54,-7.8,-31.89,1,8,海控B股,900945,0.68
BK1492,焦炭Ⅲ,0.61,-7.59,-11.43,4,1,陕西黑猫,601015,1.8
BK1249,焦炭Ⅱ,0.61,-7.59,-11.43,4,1,陕西黑猫,601015,1.8
BK1352,非运动服装,0.77,-7.59,-2.52,20,17,乔治白,002687,1.35
BK1466,管材,-1.07,-7.57,-4.25,0,6,*ST顾地,002694,1.52
BK1598,疫苗,0.61,-7.53,-11.3,6,7,*ST康乐,920575,2.06
BK1443,橡胶助剂,-1.3,-7.52,10.98,0,2,阳谷华泰,300121,2.35
BK1603,体外诊断,-0.6,-7.52,-8.21,10,29,奥泰生物,688606,1.69
BK1256,农产品加工,-1.07,-7.49,-14.06,4,22,朗源股份,300175,2.21
BK1287,工业金属,-2.72,-7.48,1.4,1,57,金徽股份,603132,3.34
BK1408,机器人,1.28,-7.48,0.15,13,8,绿的谐波,688017,4.62
BK1221,数字媒体,-0.45,-7.47,2.28,4,11,*ST三六,300295,3.61
BK1376,核力发电,1.03,-7.46,0.21,3,0,电投产融,000958,0.3
BK1449,冰洗,-1.02,-7.45,-23.9,0,8,雪祺电气,001387,0.62
BK1545,特种纸,-0.77,-7.37,-0.36,3,10,安妮股份,002235,2.61
BK1601,医院,-1.78,-7.34,-2.33,1,12,通策医疗,600763,2.82
BK1559,餐饮,-0.43,-7.22,-20.11,1,2,全 聚 德,002186,1.59
BK0734,饰品,-0.8,-7.16,-16.44,4,13,金一文化,002721,4.48
BK1421,钛白粉,-2.08,-7.15,-5.18,0,6,安 纳 达,002136,1.69
BK1491,端到端供应链服务,0.19,-7.15,-15.37,2,5,新宁物流,300013,2.77
BK1568,人力资源服务,-0.91,-7.1,-15.85,0,2,外服控股,600662,0.54
BK0482,一般零售,0.06,-7.07,-17.66,21,35,汇通能源,600605,1.68
BK1496,洗护用品,-0.68,-7.04,-12.68,1,3,润本股份,603193,1.9
BK1624,其他小金属,-3.17,-7.02,15.07,0,15,华阳新材,600281,6.36
BK1041,医疗器械,-0.24,-7.01,-3.82,45,92,澳华内镜,688212,2.19
BK1300,院线,1.27,-6.87,-16.57,4,0,儒意电影,002739,10.66
BK1201,电子,-0.4,-6.86,26.65,170,333,洁美科技,002859,3.8
BK1214,社会服务,-0.95,-6.82,-10.92,16,69,*ST西旅,000610,2.21
BK1343,物业管理,-0.65,-6.79,-14.6,1,8,ST明诚,600136,1.4
BK0420,航空机场,-1.28,-6.68,-28.49,1,13,海控B股,900945,0.67
BK1357,钟表珠宝,-0.89,-6.57,-16.13,3,12,金一文化,002721,4.87
BK1332,电子化学品Ⅲ,-1.67,-6.5,53.75,4,33,菲沃泰,688371,6.63
BK1039,电子化学品Ⅱ,-1.67,-6.5,53.75,4,33,菲沃泰,688371,6.63
BK1422,无机盐,-1.13,-6.48,17.19,1,10,红星发展,600367,2.86
BK1292,广告媒体,-0.44,-6.44,-13.03,2,1,分众传媒,002027,1.11
BK1514,水产养殖,-1.11,-6.39,-12.98,0,4,獐子岛,002069,2.43
BK1418,氯碱,-1.41,-6.36,2.15,1,14,亚星化学,600319,1.54
BK1419,煤化工,-1.7,-6.33,19.11,0,9,华谊集团,600623,2.55
BK1251,个护用品,-0.93,-6.31,-17.11,3,10,润本股份,603193,1.48
BK1587,电信运营商,0.09,-6.19,-4.96,1,2,中国电信,601728,0.16
BK1504,粮油加工,-0.51,-6.18,-22.2,2,6,京粮B,200505,2.37
BK0438,食品饮料,-0.65,-6.12,-11.76,25,103,皇氏集团,002329,1.88
BK1495,生活用纸,-1.04,-6.11,-19.65,2,7,依依股份,001206,1.37
BK1597,血液制品,-0.24,-6.04,-21.1,2,4,博晖创新,300318,0.75
BK1460,照明设备Ⅲ,-0.15,-5.84,13.03,4,10,恒太照明,920339,1.0
BK1245,照明设备Ⅱ,-0.15,-5.84,13.03,4,10,恒太照明,920339,1.0
BK1335,面板,-0.24,-5.78,8.67,14,24,汇创达,300909,3.07
BK1507,宠物食品,-2.07,-5.78,-31.32,0,4,乖宝宠物,301498,3.17
